date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:39:32	1146/1146	---M--	200	added ('OK')	image/png	etag:%226936913c-47a%22	https://cdn.davisawning.com/assets/facebook.png	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/assets/facebook.png	(from https://davisawning.com/)
07:39:32	518230/518230	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-7e856%22	https://cdn.davisawning.com/assets/faq-support.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/assets/faq-support.jpg	(from https://davisawning.com/)
07:39:32	71699/71699	---MCZ	200	added ('OK')	text/html	etag:W/%226954f01e-11813%22	https://davisawning.com/garden-dome-igloo/	C:/Users/Hi/Desktop/mm/00/davisawning.com/garden-dome-igloo/index.html	(from https://davisawning.com/)
07:39:33	131398/131398	---MCZ	200	added ('OK')	text/html	etag:W/%226954f01e-20146%22	https://davisawning.com/modular-building-cabin-space-capsule/	C:/Users/Hi/Desktop/mm/00/davisawning.com/modular-building-cabin-space-capsule/index.html	(from https://davisawning.com/)
07:39:33	992/992	---M--	200	added ('OK')	image/png	etag:%226936913c-3e0%22	https://cdn.davisawning.com/assets/twitter.png	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/assets/twitter.png	(from https://davisawning.com/)
07:39:33	1314/1314	---M--	200	added ('OK')	image/png	etag:%226936913c-522%22	https://cdn.davisawning.com/assets/linkedin.png	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/assets/linkedin.png	(from https://davisawning.com/)
07:39:33	4433/4433	---M--	200	added ('OK')	image/png	etag:%226936913c-1151%22	https://cdn.davisawning.com/assets/instagram.png	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/assets/instagram.png	(from https://davisawning.com/)
07:39:33	2082/2082	---M--	200	added ('OK')	image/png	etag:%226936913c-822%22	https://cdn.davisawning.com/assets/pinterest.png	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/assets/pinterest.png	(from https://davisawning.com/)
07:39:34	874/874	---M--	200	added ('OK')	image/png	etag:%226936913c-36a%22	https://cdn.davisawning.com/assets/youtube.png	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/assets/youtube.png	(from https://davisawning.com/)
07:39:34	24724/24724	---M--	200	added ('OK')	text/xml	etag:%226954f01e-6094%22	https://davisawning.com/sitemap.xml	C:/Users/Hi/Desktop/mm/00/davisawning.com/sitemap.xml	(from https://davisawning.com/)
07:39:34	5486/5486	---M--	200	added ('OK')	image/png	etag:%226936913c-156e%22	https://cdn.davisawning.com/assets/contact-support.png	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/assets/contact-support.png	(from https://davisawning.com/)
07:39:34	4660/4660	---M--	200	added ('OK')	image/png	etag:%226936913c-1234%22	https://cdn.davisawning.com/assets/back-to-top.png	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/assets/back-to-top.png	(from https://davisawning.com/)
07:39:35	69552/69552	---M--	200	added ('OK')	image/jpeg	etag:%226936913d-10fb0%22	https://cdn.davisawning.com/products/full-cassette-awning.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/products/full-cassette-awning.jpg	(from https://davisawning.com/)
07:39:36	121290/121290	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-1d9ca%22	https://cdn.davisawning.com/products/bioclimate-pergola.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/products/bioclimate-pergola.jpg	(from https://davisawning.com/)
07:39:36	195542/195542	---M--	200	added ('OK')	image/jpeg	etag:%226936913d-2fbd6%22	https://cdn.davisawning.com/products/retractable-roof.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/products/retractable-roof.jpg	(from https://davisawning.com/)
